rok,Lublin,Rzeszów,Białystok
2000,"0,04712","0,05032352941","0,04737"
2001,"0,05820571429","0,05355294118","0,05353333333"
2002,"0,06067142857","0,05471176471","0,05630333333"
2003,"0,05910571429","0,05199411765","0,05410333333"
2004,"0,05418571429","0,05100588235","0,05053333333"
2005,"0,0541","0,05034705882","0,04952333333"
2006,"0,04773714286","0,04635294118","0,04021333333"
2007,"0,03682857143","0,04301176471","0,03037666667"
2008,"0,03312","0,03525294118","0,03058"
2009,"0,04224","0,04346470588","0,04695333333"
2010,"0,04594285714","0,04822941176","0,05083"
2011,"0,04600571429","0,04957647059","0,05175333333"
2012,"0,04892571429","0,05367058824","0,05515"
2013,"0,04977714286","0,05517647059","0,05744666667"
2014,"0,04220285714","0,05126470588","0,04924"
2015,"0,03982285714","0,04978235294","0,04401333333"
2016,"0,03638","0,04637647059","0,03773666667"
2017,"0,03189714286","0,0402","0,02959"
2018,"0,02871428571","0,03865294118","0,02667"
2019,"0,02582857143","0,03635882353","0,02357333333"
2020,"0,02934285714","0,04364117647","0,03036666667"
